a,an 任一
error 错误误差
escape 逃跑,逃脱
especially 特别,尤其
essential 必要的,基本的
establish 建立,设立
estimate 估计,估价
Europe 欧洲的,欧洲人的
eve 前夜,前夕
even 甚至,即使,虽然
evening 傍晚,晚上
event 事件,事情
eventually 终于,最后
ever 在任何时候
every 每一的,每个的
everybody 每个,人人
everyday 每日的日常的
everyone =everybody
everything 每件事,事事
everywhere 处处,到处
evidence 形迹,迹象
evident 明显的,明白的
evil 邪恶的,罪恶的
exact 确切的,正确的
exactly 确切地，精确地
examination 考试,检查
examine 检查,细查
example 模范,榜样
exceed 超出,胜过
excellent 卓越的,极好的
except 除……之外
exception 例外,除外
exchange 调换,兑换
excite 刺激,使激动
exclaim 呼喊,惊叫
excuse 原谅,宽恕
execute 实施,执行
exercise 练习,习题
exhaust 筋疲力尽,耗尽
exhibit 展出,陈列
exhibition 陈列,展览
exist 生存,生活
existence 存在,实在
expand 张开,展开
expect 期望,指望
expense 花费,消费,消耗
expensive 花费的,昂贵的
experience 经验,经历
experiment 实验,试验
expert 专家,能手
explain 解释,说明
explanation 解释,说明
explode 爆炸,爆炸
explore 勘探,探究,探索
explosion 爆炸,爆发
explosive 爆炸,炸药
export 输出,出口
expose 曝光,揭露
express 表达,表示
expression 表达,表示
extend 延长,延伸
extensive 广大的,广阔的
extent 广度,宽度
external 外部的,外面的
extra 额外的,外加的
extraordinary 非常的,特别的
extreme 末端的,尽头的
extremely 极端,非常
eye 眼睛,看,注视
eyesight 视力,视野
face 脸，面貌\
facility 设施,工具
fact 事实,实际
factor 因素,要素
factory 工厂
fade 衰减,消失
Fahrenheit 华氏温度计
fail 失败,不及格
failure 失败,不及格
faint 减弱的,不明显的
fair 公平的,合理的
fairly 公正地,正当地
faith 信任,信用
faithful 守信的,踏实的
fall 跌倒,倒塌
false 伪造的,假的
familiar 熟悉的,通晓的
family 家庭,家庭成员
famous 著名的,出名的
fan 扇子,风扇
far 远,久远的
fare 费,票价
farewell 告别,告别的
farm 农场,经营农牧业
farmer 农民,农场主
farther 更远地,再往前地
fashion 风尚,方式
fast 快的,迅速的
fasten 扎牢,使固定
fat 肥胖的,丰满的
fate 命运
father 父亲
fault 过失,过错
favo(u)r 恩惠
favo(u)rite 中意的
fear 害怕,畏惧
feather 羽毛
feature 特征,特色
February 二月
federal 联邦的
fee 费,酬金
feed 喂(养),饲(养
feel 有知觉,有感觉
feeling 感情同情,体谅
fellow 人,家伙
female 女的,雌的
fence 栅栏,篱笆
fertilizer 肥料
festival 节日
fetch 取来,接来
fever 发热,发烧
few 少的,不多的
fibre(-ber) 纤维
field 田,田野
fierce 凶猛的,残忍的
fifteen 十五,十五个
fifth 第五
fifty 五十,五十个
fight 战斗,搏斗
figure 体形,外形
file 档案,卷宗)
fill 填满,充满
film 影片,电影
filter 滤器,滤纸
final 最终的,决定性的
financial 财政的,金融的
find 找到,发现
fine 晴朗的
finger 手指
finish 结束,完成
fire 火,激情
firm 结实的,坚固的
first 首先的,最初的
fish 钓鱼,捕鱼
fist 拳,拳头
fit 配合,健康的
five 五,五个
fix 修理,校准
flag 旗
flame 火焰
flash 激情闪光
flat 平的,平坦的
flavo(u)r 味,风味
flexible 柔韧的,易弯曲的
flight 飞翔,飞行
float 漂浮,浮动
flood 洪水,水灾
floor 地板
flour 面粉
flow 流动
flower 花
fluent 流利的,流畅的
fluid 流体,液体
fly 飞,飞行
focus 焦点
fog 雾
fold 折叠
folk 人们
follow 跟随,接着
folloowing 接着的,下列的
fond 喜爱的,爱好的
food 食物,食品
fool 愚弄,欺骗
foolish 愚蠢的
foot 脚,足
football 足球
footstep 脚步,脚步声
for 往,向
forbid 禁止,不许
force 力,力量
forecast 预测,预报
forehead 额,前额
foreign 外国的
foreigner 外国人
forest 森林
forever 永远,常有
forget 忘记,遗忘
forgive 原谅,饶恕
fork 叉,耙,叉形物
form 形状,形式
formal 正式的,形式的
format 设计,安排
former 以前的,在前的
formula 公式
forth 向前方,向前
fortunate 幸运的,侥幸的
fortunately 幸运地,幸而
fortune 财产,大笔的钱
forty 四十,四十个
forward 向前进,前进
found 建立,创立
foundation 基础,根本
fountain 泉水,喷泉
four 四,四个
fourteen 十四,十四个
fourth 第四
fraction 小部分,片断
frame 框架,框子
framework 构架,框架
frank 坦白的,直率的
free 自由的,无约束的
freedom 自由，自主
freeze 结冰，冷冻
freight 货物运费
French 法国的,法国人的
frequency 频率,周率
frequent 常发生的,频繁的
frequently 常常,频率地
fresh 新的,新近的
Friday 星期五
friend 朋友
friendly 友好的,友谊的
friendship 友谊,友好
frighten ((使)惊恐
frog 蛙
from 从,从……来
front 前面的,前部的
frontier 国境,边境
frost 霜降霜冻
frown 皱眉,蹙额
fruit 水果,果实
fry 油煎,油炸
fuel 燃料
fulfil(l) 履行,实现
full 满的,充满的
fun 玩笑,娱乐
function 功能,作用
fund 资金,基金
fundamental 基础的,基本的
funny 滑稽的,可笑的
fur 毛皮,毛
furnace 炉子,熔炉
furniture 家具
further 更远地,再往前地
future 将来,未来的确
gain 获得,博得
gallon 加仑
game 滑稽戏,娱乐
gap 缺口,裂口,间隙
garage 汽车间,修车厂
garden 花园,菜园
gas 气体,煤气
gasoline 汽油
gate 大门
gather 聚集,聚拢
gay 同性恋(者)的
gene 基因
general 一般的,普通的
generally 一般,通常
generate 产生,发生
generation 产生,发生
generator 发电机,发生器
generous 慷慨的
genius 天才,天赋
gentle 有礼貌的,文雅的
gentleman 阁下,先生
gently 有礼貌地
genuine 真正的,名副其实的
geography 地理(学)
geometry 几何(学)
German 德国的,德国人的
gesture 姿势,手势
get 获得,得到
ghost 鬼魂,幽灵
giant 巨大的
gift 赠品,礼物
girl 女孩子,姑娘
give 送给,给
glad 高兴的
glance 扫视,匆匆一看
glass 玻璃玻璃杯
glimpse 一瞥,一看
globe 球体,地球仪
glorious 辉煌的,灿烂的
glory 荣誉,光荣
glove 手套
glow 发光,发热
glue 胶合,粘贴
go 去,走
goal 目的,目标
goat 山羊
god 上帝神
gold 黄金,金币
golden 金色的,极好的
good 好的
goodbye 再见
goodness 善良,仁慈
goods 商品,货物
goose 鹅
government 政府,政体
governor 统治者,管辖者
grace 优美,雅致
graceful 优美的,雅致的
grade 等级,级别
gradual 逐渐的,逐步的
graduate 毕业生研究生
grain 谷物,谷类
gram(me) 克
grand 语法
grand 盛大的,豪华的
grandfather (外)祖父
grandmother （外）祖母
grant 同意，准予
grape 葡萄
graph 图表,曲线图
grasp 抓住,掌握,领会
grass 草
grateful 感激的,感谢的
grave 坟墓
gravity 重力,地心引力
great 伟大的,大的
greatly 大大地,非常
greedy 贪婪的,渴望的
Greek 希腊的,希腊人的
green 绿的,未熟的
greet 问候
greeting 问候,致敬
grey 灰色的,灰白的
grind 磨(碎),碾(碎)
grip 紧握,掌握,控制
grocery 食品杂货(店)
ground 地面,场所
group 群,组
grow 生长,成长
growth 增长,增大
guard 卫兵,警卫员
guess 猜想,推测
guest 客人
guide 领路人,导游
guilty 有罪的
gulf 海湾
gum 树胶,口香糖
gun 枪,炮
habit 习惯,习性
hair 头发,毛发
half 半,一半
hall 礼堂,会堂
ham 火腿
hammer 铁锤,槌
hand 手指针
handkerchief 手帕
handle 处理,对待
handsome 漂亮的,英俊的
handwriting 笔迹,书法
hang 悬挂,吊死
happen 发生
happiness 幸福快乐
happy 幸福的快乐的
harbo(u)r 海港,港口
hard 硬的,坚固的
harden (使)变硬
hardly 几乎不,简直不
hardware 五金器具
harm 伤害,损害
harvest 收获,收成
haste 匆忙,草率
hat 帽子
hate 憎恨,恨
have 已经,有
hay 干草
he pro他
head 头,头部
lose one's不知所措
headache 头痛
health 健康,健康状况
healthy 健康的,健壮的
heap 大量,许多
hear 听,听见
heart 心,内心世界
heat 热,热度
heaven 天,天空
heavy 重的,猛烈的,狂暴的
height 高度,高
helicopter 直升飞机
hell 地狱苦境
hello (招呼语)喂
help 帮助,援助
helpful 有帮助的
helpless 无能的,没用的
hen 母鸡
hence 从此,以后
her 她
here 这里,在这里
hero 英雄男主角
hers 她的
herself 她自己
